"","Store #","Address 1","City","fixedState","zip","fullAddress","StateInOrigFile"
"197",1183,"10400 OCEAN HWY","PAWLEYS ISLAND","SC",29585,"10400 Ocean Hwy, Pawleys Island, SC 29585","SC"
"198",1187,"12 W MONROE ST","BUCKNER","MO",64016,"12 W Monroe St, Buckner, MO 64016","MO"
"199",1214,"431 COLISEUM BLVD","MONTGOMERY","AL",36109,"431 Coliseum Blvd, Montgomery, AL 36109","IL"
"200",1215,"180 W SIMON BLVD","HOLTS SUMMIT","MO",65043,"180 W Simon Blvd, Holts Summit, MO 65043","MO"
"201",1222,"501 E 6TH AVE","BELTON","TX",76513,"501 E 6th Ave, Belton, TX 76513","TX"
"202",1225,"503 NORTH DOUGLAS ST","MALDEN","MO",63863,"503 N Douglas St, Malden, MO 63863","MO"
"203",1226,"911 W COLLEGE ST","MARSHALL","MO",65340,"911 W College St, Marshall, MO 65340","IL"
"204",1228,"450 S MARKET ST","MEMPHIS","TN",38105,"450 Market St, Memphis, TN 38105","TN"
"205",1230,"643 N MORLEY ST","MOBERLY","MO",65270,"643 N Morley St, Moberly, MO 65270","MO"
"206",1236,"945 MONROE ST","CARTHAGE","NC",28327,"945 Monroe St, Carthage, NC 28327","MS"
"207",1243,"1314 MAIN ST","SCOTT CITY","MO",63780,"1314 Main St, Scott City, MO 63780","MO"
"208",1250,"513 N HIGHWAY 47","WARRENTON","MO",63383,"513 North Highway 47, Warrenton, MO 63383","VA"
"209",1256,"702 W LA LANDE AVE","SUBLETTE","KS",67877,"702 W La Lande Ave, Sublette, KS 67877","KS"
"210",1257,"4388 WASHINGTON RD","EVANS","GA",30809,"4388 Washington Rd, Evans, GA 30809","GA"
"211",1262,"1070 WAYNE RD","SAVANNAH","TN",38372,"1070 Wayne Rd, Savannah, TN 38372","TN"
"212",1269,"1100 S ADAMS ST","VERSAILLES","IN",47042,"1100 S Adams St, Versailles, IN 47042","KY"
"213",1271,"7097 MASON DIXON HWY","MEYERSDALE","PA",15552,"7097 Mason Dixon Hwy, Meyersdale, PA 15552","PA"
"214",1272,"1003 N PARK ST","CARROLLTON","GA",30117,"1003 N Park St, Carrollton, GA 30117","KY"
"215",1279,"1515 BANKHEAD HWY","CARROLLTON","GA",30116,"1515 Bankhead Hwy, Carrollton, GA 30116","KY"
"216",1286,"4535 N 220 HIGHWAY","SUMMERFIELD","NC",27358,"4535 U.S. Hwy 220, Summerfield, NC 27358","NC"
"217",1303,"1205 BROAD STREET","SELMA","AL",36703,"1205 Broad St, Selma, AL 36703","AL"
"218",1311,"1449 S 1ST ST","UNION CITY","TN",38261,"1449 S 1st St, Union City, TN 38261","IN"
"219",1316,"2500 W BROADWAY","SEDALIA","MO",65301,"2500 W Broadway Blvd, Sedalia, MO 65301","MO"
"220",1332,"856 S BROAD ST","BROOKSVILLE","FL",34601,"856 S Broad St, Brooksville, FL 34601","FL"
"221",1342,"801 DIXON BLVD STE 1155","COCOA","FL",32922,"801 Dixon Blvd, Cocoa, FL 32922","FL"
"222",1354,"11582 N WILLIAMS ST #200","DUNNELLON","FL",34432,"11582 N Williams St Ste 200, Dunnellon, FL 34432","FL"
"223",1358,"403 PLAZA DR","EUSTIS","FL",32726,"403 Plaza Dr, Eustis, FL 32726","FL"
"224",1366,"109 S CHARLESTON AVE","FORT MEADE","FL",33841,"109 S Charleston Ave, Fort Meade, FL 33841","FL"
"225",1379,"5721 CROWLEY ROAD","FORT WORTH","TX",76134,"5721 Crowley Rd, Fort Worth, TX 76134","TX"
"226",1383,"2541 US HIGHWAY 19","HOLIDAY","FL",34691,"2541 US-19, Holiday, FL 34691","FL"
